u_node_id,v_node_id,tau_idx,tau,frac,n_samples_used
4,18,89,0.89,0.8808892965316772,6
4,18,90,0.9,0.8917175531387329,6
4,18,91,0.91,0.9025458097457886,6
4,18,92,0.92,0.9133740663528442,6
4,18,93,0.93,0.9242023229598999,6
4,18,94,0.94,0.9350305199623108,6
4,18,95,0.95,0.9458587765693665,6
4,18,96,0.96,0.9566870331764221,6
4,18,97,0.97,0.9675152897834778,6
4,18,98,0.98,0.9783434867858887,6
4,18,99,0.99,0.9891717433929443,6
4,18,100,1.0,1.0,6
5,29,0,0.0,0.0,7
5,29,1,0.01,0.0011402368545532227,7
5,29,2,0.02,0.00228041410446167,7
5,29,3,0.03,0.0034206509590148926,7
5,29,4,0.04,0.004560887813568115,7
5,29,5,0.05,0.005701124668121338,7
5,29,6,0.06,0.006841301918029785,7
5,29,7,0.07,0.007981538772583008,7
5,29,8,0.08,0.00912177562713623,7
5,29,9,0.09,0.010261952877044678,7
5,29,10,0.1,0.0114021897315979,7
5,29,11,0.11,0.012542426586151123,7
5,29,12,0.12,0.013682663440704346,7
5,29,13,0.13,0.014822840690612793,7
5,29,14,0.14,0.015963077545166016,7
5,29,15,0.15,0.025088131427764893,7
5,29,16,0.16,0.037407100200653076,7
5,29,17,0.17,0.04972606897354126,7
5,29,18,0.18,0.06204503774642944,7
5,29,19,0.19,0.07436400651931763,7
5,29,20,0.2,0.08668297529220581,7
5,29,21,0.21,0.099001944065094,7
5,29,22,0.22,0.11132091283798218,7
5,29,23,0.23,0.12363988161087036,7
5,29,24,0.24,0.13595885038375854,7
5,29,25,0.25,0.14827781915664673,7
5,29,26,0.26,0.1605967879295349,7
5,29,27,0.27,0.1729157567024231,7
5,29,28,0.28,0.18523472547531128,7
5,29,29,0.29,0.19931751489639282,7
5,29,30,0.3,0.21575206518173218,7
5,29,31,0.31,0.23218661546707153,7
5,29,32,0.32,0.2486211657524109,7
5,29,33,0.33,0.26505571603775024,7
5,29,34,0.34,0.2814902663230896,7
5,29,35,0.35,0.29792481660842896,7
5,29,36,0.36,0.3143593668937683,7
5,29,37,0.37,0.33079391717910767,7
5,29,38,0.38,0.347228467464447,7
5,29,39,0.39,0.3636630177497864,7
5,29,40,0.4,0.38009756803512573,7
5,29,41,0.41,0.3965321183204651,7
5,29,42,0.42,0.41296666860580444,7
5,29,43,0.43,0.4290068745613098,7
5,29,44,0.44,0.4426809549331665,7
5,29,45,0.45,0.4563550353050232,7
5,29,46,0.46,0.4700291156768799,7
5,29,47,0.47,0.4837031960487366,7
5,29,48,0.48,0.49737727642059326,7
5,29,49,0.49,0.5110514163970947,7
5,29,50,0.5,0.5247254371643066,7
5,29,51,0.51,0.5383995771408081,7
5,29,52,0.52,0.55207359790802,7
5,29,53,0.53,0.5657477378845215,7
5,29,54,0.54,0.5794218182563782,7
5,29,55,0.55,0.5930958986282349,7
5,29,56,0.56,0.6067699790000916,7
5,29,57,0.57,0.6204440593719482,7
5,29,58,0.58,0.6356899738311768,7
5,29,59,0.59,0.6511977910995483,7
5,29,60,0.6,0.6667056083679199,7
5,29,61,0.61,0.6822134256362915,7
5,29,62,0.62,0.6977212429046631,7
5,29,63,0.63,0.7132290601730347,7
5,29,64,0.64,0.7287368774414062,7
5,29,65,0.65,0.7442447543144226,7
5,29,66,0.66,0.7597525715827942,7
5,29,67,0.67,0.7752603888511658,7
5,29,68,0.68,0.7907682657241821,7
5,29,69,0.69,0.8062760829925537,7
5,29,70,0.7,0.8203765153884888,7
5,29,71,0.71,0.8304474949836731,7
5,29,72,0.72,0.8405184745788574,7
5,29,73,0.73,0.8505894541740417,7
5,29,74,0.74,0.8606604337692261,7
5,29,75,0.75,0.8707314729690552,7
5,29,76,0.76,0.8808024525642395,7
5,29,77,0.77,0.8908734321594238,7
5,29,78,0.78,0.9009444713592529,7
5,29,79,0.79,0.9110154509544373,7
